,Account Management,Billing & Payments,Complaints,"Discounts, Offers, Promotions",Disputes,Fees and charges,Fraud,"Modifications, Cancellation and Refunds",Ordering Process,Product or Service Details,Product or Service Quality issues,Purchase Pricing Enquiry,Scheduling Appointments,Shipping  & Order Status,Warranty & Repairs,Website Issue
Fees and charges,-1.51670562473,-0.43873099124,-1.1183500721,-1.47605419297,-0.52005900369,-0.404133694029,-1.11081701081,-0.907148337732,-1.1947280129,-1.39972660284,-1.68248568964,-1.4711107844,-1.61089046025,-0.825427044749,-1.64529293178,-1.26646663894
Account Management,0.0356356250896,-0.696429793916,-1.17600060785,-1.33600889719,-1.36806914937,-1.25642670898,-1.00767073329,-1.88310395036,-1.13702335023,-0.643687038249,-0.974875134395,-0.911442481607,-0.78250763427,-0.619299356861,-1.25727084807,-1.1096745805
Fees and charges,-1.15882722722,-0.875831362018,-1.34367665995,-1.35798325835,-1.40756628157,0.0785612116552,-1.19710493311,-1.37817736593,-1.11184214663,-1.13036836545,-1.46579875929,-1.04202664176,-1.30592056202,-1.28862115845,-1.64162587778,-1.12992181271
Fraud,-0.807415948377,-0.815805528287,-0.812049143823,-0.999529278983,-1.00954558079,-1.09002332788,-0.690019982299,-1.36657706707,-0.757294137133,-0.694392031513,-1.05330569898,-0.997625325056,-1.03231920442,-1.06251695526,-1.02059941928,-0.806063987364
Warranty & Repairs,-1.35361138147,-0.811686566602,-1.17852522859,-1.44182199276,-1.51638109672,-1.32711082123,-1.0961385572,-1.39818185525,-1.18226333147,-1.31666479902,-1.48123670524,-1.42785125228,-1.46965154818,-1.71512190941,0.508211024692,-1.24499748969
Disputes,-2.04432090498,-2.14022854521,-1.03913978746,-1.34444244668,2.08105724305,-2.15244300924,-0.91662588322,-2.25260656818,-1.0050561257,-0.971329788955,-1.38064915039,-1.49408192573,-1.28809711383,-1.48592236908,-1.85545941444,-1.01112828432
"Discounts, Offers, Promotions",-0.840929546388,-1.81806902816,-1.20400722148,0.961712296433,-1.4561826865,-1.42787302011,-1.12219056664,-1.7483011039,-1.19171191998,-1.30974484572,-1.52931998105,-1.50522782614,-1.6851145147,-1.45656225795,-1.32446026275,-1.3656390636
Product or Service Quality issues,-1.45360853715,-1.02445913193,-1.23804904967,-1.4238536381,-1.06742153465,-1.01237263712,-1.15611707032,-1.1808467845,-1.09303919299,-1.35309678847,0.962188894332,-1.70779551906,-1.68376170017,-1.38308298845,-1.61869048692,-1.19316874068
Purchase Pricing Enquiry,-1.86491930532,-0.387291630928,-1.20007552575,-1.27860233414,-1.63873250963,-1.81439617723,-1.27587365009,-1.61245195119,-1.21407532163,-1.71332737261,-1.0672337916,0.50822482673,-1.63631066575,-1.73459840069,-1.83353499019,-1.13518967954
Fees and charges,-1.70700068459,-1.56196928731,-0.985301615184,-1.45408844637,-0.778117307552,-0.219109973323,-0.850597481999,-0.74315729687,-0.89958058721,-1.07645342952,-1.13891485261,-0.609542349221,-1.21005659097,-1.29244773685,-0.511538652357,-0.921136236459
Ordering Process,-1.33472173958,-1.32160722663,-1.04262857143,-0.830269394823,-1.06911044296,-1.34031517359,-1.02833124191,-1.07675520066,-0.303957699389,-0.648592013119,-0.920037992167,-1.21535505225,-1.21869333917,-0.381361809813,-1.194014327,-0.528006118687
Fees and charges,-1.12739161513,-0.940376928732,-1.32507315047,-1.62183119986,-0.777767514154,-0.130644324924,-1.09950493029,-0.739457034377,-1.26335172916,-1.38365427207,-1.43381860988,-2.12286273189,-1.47354861693,-1.36104375161,-1.48895585322,-1.28872778429
Account Management,0.694611755661,-0.945679874857,-1.04979584022,-0.860443697081,-1.2264183303,-1.50138937377,-1.03490520513,-1.2203889978,-1.03214260498,-1.14196230122,-1.86815969067,-1.40706809133,-1.10008992237,-1.17428230546,-1.38632302691,-1.07608362937
"Modifications, Cancellation and Refunds",-0.453915074747,-1.21273944679,-1.06810411123,-0.669650640376,-1.16723291626,-1.62161508637,-1.19230760967,0.4637803206,-1.28597626208,-0.894859938943,-0.85139358206,-1.42586820182,-0.731981589998,-1.31644445326,-1.41534288908,-1.33136387958
Disputes,-0.607090758991,-1.42020028918,-0.883001392794,-1.47992403539,0.0509236854776,-1.4006533714,-0.446275431927,-1.06555828506,-0.980241271673,-1.04083668241,-1.36744938218,-1.30502568632,-1.14136514677,-1.13806360397,-1.08390472173,-1.07887536566
Product or Service Details,-0.494440166092,-0.954116861392,-1.00755824322,-0.897060855927,-1.26027537113,-1.70588549657,-1.00831319559,-1.13433505883,-0.950334749734,0.399056180669,-1.55289345279,-1.0077491517,-1.25372369315,-1.10927217993,-1.09365130572,-0.913672084773
Account Management,0.0524496039379,-1.06259979071,-1.37074075365,-1.08095718551,-1.41045399522,-0.787156052285,-1.23526946027,-0.797480564309,-1.32314956354,-1.30829955368,-1.86627424302,-0.905975334617,-1.89569295737,-0.990968998268,-1.96970698627,-1.47473369519
Billing & Payments,-2.535717274,0.618651378241,-1.11363796295,-1.40361621651,-0.787372899046,-1.75163150875,-1.03845982899,-1.50832399018,-0.777364492336,-1.26839108701,-0.748160210243,-1.69538589861,-1.36668137798,-1.39170220459,-1.1190507045,-1.12671716921
Billing & Payments,-0.323956010909,-0.225372896407,-1.07791731199,-1.61322849235,-2.46644656364,-0.610976805062,-0.901563323302,-1.0529218211,-0.971376884914,-1.15162411758,-2.040450137,-1.04416252163,-0.943844398643,-1.12400659934,-1.52719434673,-1.16935596406
Billing & Payments,-1.32527435928,0.0165664832121,-1.26572702012,-1.53017028615,-1.18229576875,-1.27721820043,-1.18069142587,-0.736925704771,-1.26222181235,-1.67493048813,-1.51372022238,-2.61569883487,-2.13424894139,-2.40911258754,-0.141603204016,-1.30983686068
"Discounts, Offers, Promotions",-1.5158964437,-1.14055416392,-0.987413219096,1.33652156659,-1.3496395912,-1.31003202948,-0.99523430435,-1.57717888845,-0.964043172578,-1.12898040758,-1.43016633441,-1.09306173041,-1.20656793568,-1.29902375981,-1.49249928754,-1.15041317005
Account Management,1.06157492814,-1.04144412568,-1.14638777313,-0.965095269203,-1.2061303301,-1.50813678138,-1.09186285935,-1.17098135593,-1.16403910785,-1.37802670009,-2.04543645414,-1.66882234691,-1.23220518514,-1.34821560669,-1.37277726058,-1.25589031423
Account Management,1.32035276245,-1.2371809606,-1.06979006679,-1.32725326027,-1.23536080807,-1.91193941995,-1.2411535213,-1.19613597497,-1.1131093669,-1.35353348278,-1.54009618257,-1.79923533944,-1.41280545783,-1.15719312488,-1.43015460543,-1.19702818275
"Discounts, Offers, Promotions",-1.90460348319,-1.26979700312,-1.06380043061,0.240736268596,-0.847108067462,-1.13288063063,-0.90105311515,-1.46066802039,-1.13115685719,-0.682952247055,-1.03129165263,-0.419406531547,-1.07594134038,-0.837068612172,-1.30102924448,-1.14764580711
"Discounts, Offers, Promotions",-1.04416555383,-1.33962982045,-1.12859116942,0.570386577925,-1.3617640693,-1.74590029572,-1.16162908725,-1.60833765969,-1.23720012459,-1.25871127676,-1.25042764674,-1.44751866197,-1.26185044589,-1.549688107,-0.922896164459,-1.17109265914
Account Management,1.02122796333,-0.738606054976,-1.43059849183,-1.04203870336,-1.37329662966,-1.23884925434,-1.17435595426,-1.0121075959,-1.47798961322,-2.08277175511,-1.69338354694,-2.09279688928,-1.85528986343,-2.03433785388,-1.83959183271,-1.82686682885
Shipping  & Order Status,-1.23462924063,-1.45178370084,-1.33055323335,-1.55155281947,-1.51254147408,-2.03697109736,-1.32266193479,0.0438422179854,-0.654657105095,-1.37620953559,-1.2984751788,-2.01946066797,-1.69739484587,0.100488895045,-1.55136051311,-0.847000138299
Product or Service Details,-1.50370767716,-1.31505549246,-1.12817357024,-0.449827208168,-1.238056805,-1.33588264813,-1.22023406203,-1.48518902241,-0.581574612698,-0.26249350478,-1.30828803163,-1.31703973355,-1.19286398287,-0.418928970599,-1.17647318471,-0.924069942421
Disputes,-0.952700514633,-0.961742165017,-0.844385695512,-0.817518529502,0.842138547913,-1.64710741723,-0.688925360476,-1.72501390606,-0.989550884988,-1.19661779799,-1.40212208945,-1.26319828465,-0.875682845688,-1.1587129272,-1.16871565537,-0.885884304021
Disputes,-0.972035278056,-0.85714934517,-1.04650159315,-1.26717545153,0.0220684274684,-0.963732439559,-0.923085841071,-1.20841285256,-1.05663315462,-1.65616688101,-0.907892594877,-1.62530696034,-1.64064706847,-0.888744656852,-1.24520808898,-1.0577673023
Billing & Payments,-1.32856930456,1.09057862686,-1.15928600508,-1.35031916501,-1.2535293439,-1.94502094349,-1.13466692508,-1.56391687704,-1.09323814176,-1.45772685648,-1.52649780556,-1.44712336054,-1.63854820004,-1.98866351806,-1.36141464844,-1.24608997508
"Modifications, Cancellation and Refunds",-1.90261750423,-0.742991204737,-1.07697086764,-2.11623278798,-1.80987787128,-1.48198866816,-1.04014273122,0.937888102686,-1.05588360156,-1.32387626271,-2.0444367909,-1.5618012585,-1.36938579364,-1.62740168653,-0.882341789675,-0.992327514733
Billing & Payments,-0.852679551261,0.238723320537,-1.41727657942,-1.3161513738,-2.10521445747,-1.01860552798,-1.13598972117,-1.10191937766,-1.35152299297,-1.73151039955,-2.43629754287,-2.09854707696,-1.78867713711,-1.72708835875,-1.45100422355,-1.2740950499
Account Management,1.05320061085,-1.66664109982,-1.46742305768,-1.22711820949,-1.41096371174,-1.30831634986,-0.879677092461,-1.04623264007,-1.16319704919,-1.45898898038,-1.57017717039,-1.56686226306,-1.66532674635,-1.24848029613,-1.10509262387,-1.22882222625
"Modifications, Cancellation and Refunds",-2.48902669976,-0.770551535566,-0.983764720509,-1.06204876881,-1.47452004163,-1.66864349002,-1.30236797326,-0.00317725324931,-1.22048457318,-1.1398256863,-2.07413129688,-1.13657202167,-0.327307552509,-1.55512780551,-1.66681545762,-1.31664307622
Account Management,0.67692817065,-0.369094070789,-1.30099928975,-1.45171504775,-1.63439077626,-1.17130326654,-1.12721620275,-0.938820840962,-1.39902924571,-2.14142969602,-2.04697504413,-1.9316880309,-1.59783446148,-1.91511121597,-1.30717034011,-1.71689519428
Shipping  & Order Status,-1.74324942457,-1.31293020806,-1.2228746846,-0.474012580563,-1.57273317129,-0.965178289132,-1.07687037219,-0.457040430254,-1.02464517062,-2.02280172751,-1.59450139976,-1.78796309042,-1.56065003235,-0.365694891086,-1.24081061098,-1.04053193183
Shipping  & Order Status,-2.18781287414,-1.46996664581,-1.16003667212,-1.148226224,-1.71824975323,-1.23218133037,-1.26063099909,-0.127930763037,-1.10580077356,-1.33015062956,-0.993601034683,-1.75848248978,-1.74540001198,1.06947781819,-1.31747213885,-1.13169890185
Billing & Payments,-1.92626398122,0.941701884339,-1.45486812121,-1.42797423488,-1.23639393286,-1.42449276929,-1.25542926581,-0.565324697483,-1.3321471956,-1.2197296858,-1.41758384997,-3.32452173894,-2.29848671456,-3.28505323164,-1.05020102725,-1.38553450328
"Discounts, Offers, Promotions",-1.09204315138,-0.910333223739,-1.02712346711,0.367044721531,-0.878977371581,-1.71600845422,-1.03412213594,-2.30515044731,-0.855784009605,-1.39487328441,-1.02918620281,-1.29874521598,-1.51827372318,-0.928604785528,-1.00026628036,-1.24869120299
Billing & Payments,-2.50386167706,1.22633727414,-1.1271441976,-1.79554098069,-1.13674854694,-1.88675228243,-0.96796327871,-1.6193075976,-1.08348723871,-1.35482609105,-1.42247142728,-1.33596805579,-1.51661292035,-1.72976431644,-1.18036580302,-1.25449583551
Scheduling Appointments,-1.15224343324,-0.420348649099,-1.03651224199,-1.12681324787,-1.32613749583,-0.921835900828,-0.916743580989,-1.11521088423,-0.959713473787,-0.514407018114,-1.96239814685,-1.08467568061,-0.356992511118,-1.27779959299,-1.08436536727,-0.986210123515
Billing & Payments,-0.687550612397,-0.619848309372,-0.756278763055,-1.1071399845,-1.0216004613,-1.26150577109,-0.914870559759,-1.22225860944,-0.954911674609,-0.787743494499,-1.0196384653,-0.747409338469,-0.94508252503,-1.29575483091,-1.20190765739,-1.06824208999
Website Issue,-0.850181133052,-1.45474415229,-1.1301791477,-0.813183530822,-1.38642413916,-1.28490645734,-1.30346060745,-0.812447977361,-1.04591551057,-1.33867005685,-1.26659888676,-1.89907553414,-1.5871194787,-0.459616301351,-1.28411154179,-0.209309965697
Fees and charges,-1.17891083307,-0.601021142218,-1.20270968063,-1.7612594959,-0.718019950426,-0.0270239409036,-0.987200793128,-1.14668735216,-1.24303467823,-1.65895043962,-1.44538681134,-1.77259041695,-1.50668507772,-1.1653108804,-1.20799389453,-1.42146172286
Product or Service Details,-0.97308253465,-1.23140094885,-0.902437784107,-0.9607845005,-1.07710497018,-1.13130425256,-0.821530577589,-1.29254916363,-0.833732637002,0.729597277461,-1.17685045559,-0.985994888291,-1.01579775457,-1.51108468733,-1.05652178417,-0.917507137818
Purchase Pricing Enquiry,-1.44851915524,-1.22826299672,-1.38459061934,-1.08362964696,-1.24244271236,-1.93391859311,-1.18254022548,-1.36734828821,-1.27554674119,-1.55923133489,-0.627267633522,-0.328629134934,-0.635598172735,-1.20286544917,-1.38593426682,-1.36273818961
Account Management,0.819829353067,-0.992021459666,-1.32825261812,-0.971836572073,-1.82531101918,-0.944869428206,-1.1911789857,-0.962247964405,-1.30263893066,-1.7810437477,-2.54851938421,-1.85661041953,-1.64022688157,-1.71328281027,-1.66825161102,-0.950799103221
Website Issue,-0.894300240655,-0.857273859603,-1.09432346694,-1.10887696076,-1.26568838062,-1.02069376359,-1.1073556165,-1.55249622227,-0.839484069001,-1.18722547525,-0.918873179137,-1.40152747877,-1.23659329583,-0.351923104581,-1.16266422371,0.29361899378
Shipping  & Order Status,-1.75646701262,-0.610710016729,-1.20757146515,-0.915783080039,-0.869739755903,-1.01979349141,-1.19101810302,-1.1651855013,-1.01834471538,-1.92588252206,-1.0904590348,-1.44605782463,-0.638421194241,-0.475462501067,-1.30382184762,-0.609443367971
Shipping  & Order Status,-0.927199587469,-0.367211367889,-1.02185018648,-1.17026192052,-1.30984730173,-0.882442924844,-1.00398273164,-1.7113691764,-0.860756625232,-1.47290716945,-0.987961508525,-1.49324625438,-0.83687140102,-0.00436001226797,-1.24266954982,-0.765467663071
Purchase Pricing Enquiry,-1.96405804148,-0.576252720634,-1.24507146871,-1.2623607544,-0.977069218039,-1.03690011807,-1.20299919371,-2.18551303431,-1.16421419736,-1.52842621323,-1.04776034404,-0.532902034361,-1.41330429734,-1.72158392452,-1.51673985885,-1.38404770118
Fees and charges,-1.63433002016,-0.991975687362,-1.10619286253,-1.24315226442,-0.708104061352,0.0779396089732,-0.843007453248,-0.353153337573,-1.14920916038,-1.17796650543,-1.44693528547,-1.38728463578,-1.38654201972,-1.42539008051,-1.21410510321,-1.12405397544
Account Management,0.380753256494,-1.63655271952,-1.03221084905,-1.62986748229,-1.21371416634,-1.16235800909,-0.956666262895,-1.61388129384,-1.04481212933,-0.869541883542,-1.21311751497,-0.29528187387,-1.46323035805,-1.06588952753,-1.15055698809,-1.07707767973
Product or Service Details,-1.21911417685,-0.569724130177,-1.17252855085,-0.912702210327,-1.47792391053,-1.12103976783,-1.1041819693,-1.1009354837,-1.19713484765,0.0134955366005,-0.778561199896,-1.06657107845,-1.14485900395,-1.01169412757,-1.32989677727,-1.21405783147
Purchase Pricing Enquiry,-1.41171435757,-1.57802416866,-1.28403420278,-0.779241176438,-1.73851414615,-2.19948936647,-1.31596724007,-0.912970023419,-1.28983266019,-1.60812516507,-0.519079189274,-0.331130889363,-0.586923516341,-1.57872880762,-1.72926593036,-1.35144532327
"Modifications, Cancellation and Refunds",-1.67940144966,-2.23154408803,-1.12455149714,-1.00727755992,-1.20747442582,-0.69235046137,-1.06221571967,0.103722694159,-1.07995075011,-1.6069155871,-1.63399107548,-1.09954525959,-1.20979728317,-1.79340282411,-1.46435874599,-1.40030968881
Account Management,-0.341947833603,-1.37558388609,-1.08372657219,-0.876821890177,-0.850290870678,-0.9752026741,-1.14956599907,-0.782232892086,-1.19456074407,-1.40275239434,-0.612971970985,-1.06480582044,-1.54293497699,-1.07696789808,-1.35879403664,-1.07471812222
Billing & Payments,-1.63673828734,0.731424457705,-1.30880397114,-0.956320485032,-1.64258373991,-1.68272644649,-1.18196996596,-1.47336743593,-1.17627874396,-0.806034722201,-2.24742809237,-1.23959069535,-1.59974202725,-1.7370277874,-1.27741587786,-1.06522429058
Billing & Payments,-1.68350657323,-0.193645198231,-1.25715094995,-1.10339361752,-0.732265906279,-0.354157402787,-1.16224820504,-0.926650569835,-1.29482730575,-1.73404257451,-1.65677857726,-1.91647399841,-1.67648115631,-1.49153599303,-1.37635580016,-1.29348549829
Disputes,-2.96543635655,0.29852504111,-1.1859592258,-1.55978094138,0.630582291491,-2.11115597863,-1.08764496481,-1.92645868042,-1.12082074602,-1.26852993253,-1.64742360573,-1.81453103547,-1.57503941735,-1.95487068986,-1.96056182707,-1.12358392503
Account Management,0.787495668343,-1.30181383544,-1.28731349245,-1.49775801401,-1.53318724055,-1.35871316619,-1.31122898856,-0.715592613898,-1.26826697874,-1.71295261264,-1.21659090051,-2.38664255953,-1.35418753291,-1.15391556498,-1.32063278787,-1.35324340573
"Discounts, Offers, Promotions",-1.14230254533,-0.745405210581,-1.11066114626,0.462838290905,-0.908117448199,-0.541853843694,-1.17740526624,-1.93627149624,-1.37813740271,-1.03026155588,-1.44443211366,-2.05547843986,-1.30989654085,-1.51011514784,-1.49156944732,-1.20817379553
Purchase Pricing Enquiry,-0.189656803699,-0.864627952126,-0.948023442844,-1.23539167298,-0.88349025964,-1.70001662586,-1.26939419318,-1.01977386301,-1.28629272155,-1.34610804786,-0.910872153928,-0.171553537699,-1.31681237094,-1.31505791146,-1.43373597638,-1.31700605621
Fraud,-0.807415948377,-0.815805528287,-0.812049143823,-0.999529278983,-1.00954558079,-1.09002332788,-0.690019982299,-1.36657706707,-0.757294137133,-0.694392031513,-1.05330569898,-0.997625325056,-1.03231920442,-1.06251695526,-1.02059941928,-0.806063987364
"Discounts, Offers, Promotions",-2.14333857939,-1.7122673508,-1.27318660901,1.81709952028,-1.3468818193,-1.53254001584,-1.15584750448,-1.56694671493,-1.21278898192,-1.39330966295,-1.64855456997,-1.4814324725,-1.56376355265,-1.53079258429,-1.34221804941,-1.4405956539
Account Management,1.16591047846,-0.688080474533,-1.58898644189,-1.0801064644,-1.29344292504,-1.37626918724,-1.24887481752,-1.16460080922,-1.3993235739,-1.64745817905,-1.95321222351,-2.51379306435,-2.05648195835,-2.91074313932,-1.42883652242,-1.58844475263
Billing & Payments,-0.631020101698,-0.601022575587,-1.13961142777,-1.21907286619,-0.602905608199,-1.08685957976,-0.906690619232,-1.44878162246,-0.96290065096,-1.14054354259,-1.20266243643,-1.45724797128,-0.853914181902,-1.33725215234,-1.21450116465,-1.00468260981
Account Management,0.982759879424,-0.743784376606,-1.1754103214,-1.18946233203,-1.2641965679,-1.80792021196,-1.10197287374,-1.35866591886,-1.00672400894,-1.36920187462,-2.52183013742,-1.37233795137,-1.08272310045,-1.06648702662,-1.49287023199,-1.07164400435
Account Management,0.489728648884,-1.31118100279,-1.20168126036,-1.27829338988,-0.975281482289,-1.74209116198,-1.00093922762,-1.93088581013,-1.06968836045,-1.15939720953,-1.59851856439,-1.17049973685,-1.50079768403,-0.910562746873,-0.417418969849,-0.853210405039
Billing & Payments,-1.05101748899,0.613905469206,-1.15404597305,-1.73023809495,-1.00679522012,-1.48411612796,-1.07713921467,-1.5172499085,-1.22808142027,-1.70853726724,-1.64381961077,-1.64562745583,-1.54018567312,-1.03932040933,-1.05365619236,-1.12151092009
Shipping  & Order Status,-0.614148773725,-0.826575895518,-1.48696672333,-1.41688204564,-1.41506322857,-1.59522080919,-1.26270743401,-1.37954643859,-0.879766937457,-0.472636646217,-1.27760528158,-1.3476174624,-1.49471946685,0.0117065535697,-1.24819964818,-0.996696432904
"Discounts, Offers, Promotions",-2.53986400413,-2.61073123066,-1.08499759392,1.5991092625,-1.57956973994,-2.11905714438,-1.09832719811,-1.65455020394,-0.992101029158,-1.20979303518,-1.55624477362,-1.44303746835,-1.38866686652,-1.38603885604,-0.457641696573,-1.34958357638
Billing & Payments,-1.38248768418,0.987494582461,-1.09701954106,-1.52079536322,-1.09960904831,-1.43435963954,-0.985082958136,-1.3339284442,-1.05158423726,-1.27780308596,-1.43200031893,-1.93270460887,-1.52930505463,-1.46457797592,-0.958122186586,-1.21452908291
Product or Service Details,-0.897806678893,-0.755487432099,-0.878224720993,-1.10617897217,-1.03781303898,-1.09002332788,-0.829560105907,-1.41807387222,-0.875362038638,0.114404042767,-1.08590456221,-1.39895846025,-1.03231920442,-1.21794787506,-1.02059941928,-0.911325372528
Disputes,-0.807415948377,-0.47443130126,-0.894113217792,-0.944144595197,-0.226609501611,-1.19757810226,-0.795634729451,-2.2627412741,-0.828972997403,-0.738692833551,-1.47469564206,-1.08827014878,-0.411239024772,-1.08725385023,-1.21436316036,-0.844679156815
"Modifications, Cancellation and Refunds",-1.45179450123,-0.917961462233,-0.439468342022,-1.06136558707,-0.93359080987,-1.42615377713,-1.17047996355,-0.0718609351488,-1.1797153438,-1.17748802831,-1.71366260766,-1.1982229701,-0.661135006526,-1.47186507545,-1.3871836862,-1.16220668123
Account Management,0.920408456025,-0.834883200359,-1.22595898797,-0.848826050626,-1.71136135161,-1.18475134924,-1.04895082417,-1.07552471269,-1.29730728535,-1.49146254139,-2.45734539968,-1.42774391294,-1.17405904932,-1.82245571481,-1.33155818587,-1.32258127092
Fees and charges,-1.38386981187,-1.0870031082,-1.0751919081,-1.63003045826,-1.20700719816,0.903302156596,-1.2290452442,-0.764089797955,-1.08292618043,-1.41063883608,-1.59142431284,-1.51249404894,-1.3937244515,-1.52599251791,-1.47466388947,-1.25753268458
Disputes,-1.20565900533,-1.20939814997,-1.33775298693,-1.34602045621,0.014368623387,-0.407794379408,-1.14661250031,-0.404992002296,-1.29729493933,-1.13683901664,-1.37095940892,-1.48061060286,-1.4910922643,-1.10650357709,-1.62135531209,-1.43553296513
Disputes,-0.583669348302,-0.699547963835,-0.818679231646,-0.954167739377,-0.479654232936,-1.44448983997,-1.01743923423,-1.24275819259,-1.024404396,-1.24531737893,-1.32762381915,-0.666805155099,-0.976948506306,-0.962480432201,-1.26846878609,-0.929766734317
Fees and charges,-1.61073848366,-1.22025947379,-1.17278656018,-1.58952892718,-1.37789092789,1.04349362074,-1.21722604039,-1.44595883325,-1.1736803794,-1.50252883382,-1.33385268993,-1.37878631956,-1.5267715532,-1.52349854852,-1.35949703441,-1.21597290641
"Discounts, Offers, Promotions",-2.14678873754,-2.70379585101,-1.03908503198,1.7316265791,-1.74415912797,-1.32789139056,-0.992491861592,-1.58344821982,-1.02402182597,-1.25592987686,-1.13151458201,-1.30864268809,-1.78337624824,-1.21622711189,-1.43784674225,-1.15405918603
Disputes,-2.27765793913,-1.39844182314,-1.04291707048,-1.48410611842,1.11860260315,-0.840049781519,-1.20517133254,-0.6744503221,-0.998497029365,-1.3071838371,-1.333423945,-1.18967289432,-1.4787339879,-1.35830863102,-1.92584465598,-1.12619882892
Account Management,0.363995300405,-1.60889335594,-1.02507490262,-1.45225770599,-1.2142752221,-1.3254092641,-1.0083545189,-1.04176273635,-0.973400540641,-1.17704858088,-1.79188706907,-1.23409910859,-1.26639689467,-0.577787250731,-1.39516792906,-1.08316841618
Purchase Pricing Enquiry,-1.03768009418,-1.60373794576,-1.37655202254,-0.840608472747,-0.621743163505,-2.07232332201,-1.14212571186,-2.1823726687,-1.12157490301,-1.45553394417,-0.818954646998,0.479876932967,-0.893375963587,-1.16756184026,-0.870307636919,-1.25248401279
Fees and charges,-1.58331112644,-1.29140398629,-1.16004836858,-0.686466754617,-1.4376711169,-0.0472544465586,-1.07542778754,-1.00560262838,-1.13270668348,-1.57287718873,-1.38498681049,-1.21073100029,-1.47821817268,-1.50837183381,-1.06395499164,-1.1393454481
Scheduling Appointments,-1.64835125502,-1.07840797257,-1.14753470186,-0.796824369498,-1.15863376944,-1.02878765102,-1.2683807245,-0.901482469632,-1.02913483941,-1.79569571059,-1.76272998046,-0.865709692519,0.498712352287,-1.32825721855,-1.04715046772,-1.00420642521
Billing & Payments,-1.15321086989,-0.491153503301,-0.968106194117,-0.668868443622,-1.16854614918,-1.2190246745,-0.904698728147,-1.21972910334,-0.791512276424,-1.28177516885,-1.27736927867,-1.06472299641,-1.08373272131,-0.879581158471,-1.19746888356,-0.760629108113
Purchase Pricing Enquiry,-2.65902702292,-0.702050051911,-1.21807781605,-0.856570434529,-0.529191597585,-1.88134655951,-1.29652285937,-0.37558241102,-1.2982766598,-1.54824913768,-1.6770284863,0.0760580529724,-1.21908146744,-1.33967574914,-1.49788587795,-1.35080030571
Purchase Pricing Enquiry,-2.41755768986,-2.4077883916,-1.2130751694,-1.55354985217,-1.32966841661,-1.71627280227,-1.03880864757,-1.16485472061,-1.05094699374,-1.59786179695,-0.0716727615689,0.344433474332,-1.17423940773,-1.6731647964,-1.54209294513,-1.29971603464
Product or Service Quality issues,-2.51111715901,-1.16389564648,-1.25495592454,-1.31022244535,-1.5704258426,-1.37363435794,-1.27491135003,-1.30682093286,-1.30271188381,-1.44251563467,0.459331595152,-0.339250979866,-0.172814000793,-1.41454389719,-1.69042363449,-1.34534170909
Fees and charges,-0.560618096306,-0.735965102996,-1.3050227087,-0.888764651086,-1.07803233815,0.0483374208588,-1.29035013315,-1.24814328374,-1.46444214406,-1.26101663943,-1.52780940981,-1.18487337897,-1.50329341651,-1.42094417206,-1.41342778629,-1.42363205428
Account Management,0.348610740662,-0.15710434438,-1.42123612372,-1.27013921869,-0.738395904671,-0.889880418866,-1.28769439794,-1.4976478831,-1.57308608761,-1.88205107737,-1.80640165899,-2.10091401666,-1.71049046282,-1.54476084439,-1.34408913644,-1.78120547072
Scheduling Appointments,-1.88357791835,-1.18443203055,-0.954226197545,-1.10609786291,-1.29001714625,-1.29225177404,-0.973580572672,-1.37126676507,-1.02375051062,-1.2351850812,-0.540432879509,-0.102558217955,-0.0874465136229,-1.52818899649,-1.41267845697,-1.13925948205
"Modifications, Cancellation and Refunds",-1.00429320935,-1.24619431772,-0.982351049553,-1.1797052488,-0.97773186094,-1.23669617633,-1.12968056372,-0.191642004518,-1.10181468393,-1.5376407856,-0.98689210446,-0.214574585284,-1.26505642014,-1.39668545801,-1.04024105256,-1.02614739303
Product or Service Details,-1.27709642781,-0.978723360209,-0.893735715249,-1.13521799496,-1.03953315689,-0.863915426787,-0.881792819722,-0.525631226769,-1.06334473526,-0.235670478681,-0.684479999576,-0.918984161937,-0.723455546167,-1.29676823094,-0.852950105581,-0.990165917899
Fraud,-0.807415948377,-0.815805528287,-0.812049143823,-0.999529278983,-1.00954558079,-1.09002332788,-0.690019982299,-1.36657706707,-0.757294137133,-0.694392031513,-1.05330569898,-0.997625325056,-1.03231920442,-1.06251695526,-1.02059941928,-0.806063987364
Purchase Pricing Enquiry,-1.73501262077,-1.39775600309,-1.28398535145,-0.71550764032,-1.69238810871,-0.786216141236,-1.12186834161,-1.44240251399,-1.14501629622,-1.18281260624,-0.492613108162,0.177806909313,-0.650872755833,-1.06668239357,-1.84260368338,-1.20526172742
Account Management,1.25247384242,-1.22813863791,-1.12174950654,-1.05336114544,-1.22349168358,-1.59223735683,-1.01383302217,-1.32894427602,-1.09450321148,-1.30653366842,-1.3674664607,-1.39239197471,-1.42495276057,-1.4138013256,-1.19582636352,-1.38874909769
Shipping  & Order Status,-1.30769973112,-1.45684098222,-1.01682719424,-0.680133891722,-0.748243033291,-1.70094934064,-1.1949391182,-1.01600074343,-0.950040768317,-1.39439665122,-1.11652867428,-1.8641213842,-1.14898894182,0.210649310174,-1.17749437905,-0.7344036664
